,date,unique_id,city_id,shop_id,item_category_id,item_id,monthly_average_price,monthly_sales
0,2013-01-31,12_11365,16,12,9,11365,1511.5126262623332,30.0
1,2013-01-31,12_11369,16,12,9,11369,572.7152777778333,30.0
2,2013-01-31,12_11370,16,12,9,11370,699.7767857143125,30.0
3,2013-01-31,12_11373,16,12,9,11373,548.9,6.0
4,2013-01-31,12_12231,16,12,49,12231,350.0,3.0
5,2013-01-31,12_482,16,12,73,482,3300.0,19.0
6,2013-01-31,12_839,16,12,73,839,3300.0,19.0
7,2013-02-28,12_11365,16,12,9,11365,1533.12500000025,27.0
8,2013-02-28,12_11369,16,12,9,11369,699.8370370372667,30.0
9,2013-02-28,12_11370,16,12,9,11370,815.6395891689413,30.0
10,2013-02-28,12_11373,16,12,9,11373,179.5,2.0
11,2013-02-28,12_12231,16,12,49,12231,350.0,2.0
12,2013-02-28,12_482,16,12,73,482,3300.0,30.0
13,2013-02-28,12_839,16,12,73,839,3300.0,15.0
14,2013-03-31,12_11365,16,12,9,11365,3252.470238095236,30.0
15,2013-03-31,12_11369,16,12,9,11369,683.3315018316154,30.0
16,2013-03-31,12_11370,16,12,9,11370,1190.3505291003337,30.0
17,2013-03-31,12_11373,16,12,9,11373,195.3333333333333,21.0
18,2013-03-31,12_12231,16,12,49,12231,350.0,5.0
19,2013-03-31,12_482,16,12,73,482,3300.0,22.0
20,2013-03-31,12_839,16,12,73,839,3300.0,12.0
21,2013-04-30,12_11365,16,12,9,11365,1590.515151514545,27.0
22,2013-04-30,12_11369,16,12,9,11369,845.803571428575,30.0
23,2013-04-30,12_11370,16,12,9,11370,1068.0607769423157,30.0
24,2013-04-30,12_11373,16,12,9,11373,192.7333333334,9.0
25,2013-04-30,12_12231,16,12,49,12231,350.0,2.0
26,2013-04-30,12_482,16,12,73,482,3300.0,24.0
27,2013-04-30,12_839,16,12,73,839,3300.0,15.0
28,2013-05-31,12_11365,16,12,9,11365,1447.531250000375,30.0
29,2013-05-31,12_11369,16,12,9,11369,632.3333333332,17.0
30,2013-05-31,12_11370,16,12,9,11370,1269.5312500000623,30.0
31,2013-05-31,12_11373,16,12,9,11373,382.0,7.0
32,2013-05-31,12_12231,16,12,49,12231,350.0,2.0
33,2013-05-31,12_482,16,12,73,482,3300.0,11.0
34,2013-05-31,12_839,16,12,73,839,3300.0,6.0
35,2013-06-30,12_11365,16,12,9,11365,1302.3437499995,28.0
36,2013-06-30,12_11369,16,12,9,11369,847.5606060606365,21.0
37,2013-06-30,12_11370,16,12,9,11370,1044.94047619025,30.0
38,2013-06-30,12_11373,16,12,9,11373,258.78333333343,28.0
39,2013-06-30,12_12231,16,12,49,12231,350.0,5.0
40,2013-06-30,12_482,16,12,73,482,3160.0,21.0
41,2013-06-30,12_839,16,12,73,839,3300.0,10.0
42,2013-07-31,12_11365,16,12,9,11365,1736.78571428575,20.0
43,2013-07-31,12_11369,16,12,9,11369,638.85,18.0
44,2013-07-31,12_11370,16,12,9,11370,864.84375,30.0
45,2013-07-31,12_11373,16,12,9,11373,374.9375,9.0
46,2013-07-31,12_12231,16,12,49,12231,350.0,2.0
47,2013-07-31,12_482,16,12,73,482,3300.0,23.0
48,2013-07-31,12_839,16,12,73,839,3300.0,4.0
49,2013-08-31,12_11365,16,12,9,11365,3072.36111111,16.0
50,2013-08-31,12_11369,16,12,9,11369,1922.3095238095,30.0
51,2013-08-31,12_11370,16,12,9,11370,1386.71874999975,30.0
52,2013-08-31,12_11373,16,12,9,11373,355.7375,30.0
53,2013-08-31,12_12231,16,12,49,12231,350.0,2.0
54,2013-08-31,12_482,16,12,73,482,3300.0,10.0
55,2013-08-31,12_839,16,12,73,839,3300.0,10.0
